NUMERO,ENTRADA (m/s/ms),SALIDA (m/s/ms)
1,00:00:00,00:07:05
2,00:07:05,00:04:22
3,00:04:22,00:10:08
4,00:10:08,00:17:17
5,00:17:17,00:08:45
6,00:08:45,00:15:54
7,00:15:54,00:11:46
8,00:11:46,00:18:54
9,00:18:54,00:10:22
10,00:10:22,00:17:31
11,00:17:31,00:12:34
12,00:12:34,00:18:20
13,00:18:20,00:13:23
14,00:13:23,00:20:31
15,00:20:31,00:12:00
16,00:12:00,00:19:08
17,00:19:08,00:15:00
18,00:15:00,00:22:08
19,00:22:08,00:29:17
20,00:29:17,00:20:46
21,00:20:46,00:27:54
22,00:27:54,00:19:23
23,00:19:23,00:26:31
24,00:26:31,00:18:00
25,00:18:00,00:25:08
26,00:25:08,00:32:17
27,00:32:17,00:23:46
28,00:23:46,00:30:54
29,00:30:54,00:22:23
30,00:22:23,00:28:09
31,00:28:09,00:33:54
32,00:33:54,00:25:23
33,00:25:23,00:32:31
34,00:32:31,00:24:00
35,00:24:00,00:31:08
36,00:31:08,00:38:17
37,00:38:17,00:29:45
38,00:29:45,00:36:54
39,00:36:54,00:28:23
40,00:28:23,00:35:31
41,00:35:31,00:27:00
42,00:27:00,00:34:08
43,00:34:08,00:41:17
44,00:41:17,00:31:22
45,00:31:22,00:42:05
46,00:42:05,00:37:08
47,00:37:08,00:44:17
48,00:44:17,00:35:45
49,00:35:45,00:42:55
50,00:42:55,00:33:00
51,00:33:00,00:38:45
52,00:38:45,00:45:54
53,00:45:54,00:37:22
54,00:37:22,00:44:31
55,00:44:31,00:40:22
56,00:40:22,00:47:31
57,00:47:31,00:39:00
58,00:39:00,00:46:08
59,00:46:08,00:51:54
60,00:51:54,00:42:00
61,00:42:00,00:49:08
62,00:49:08,00:56:17
63,00:56:17,00:47:46
64,00:47:46,00:53:31
65,00:53:31,00:50:45
66,00:50:45,00:57:54
67,00:57:54,00:49:23
68,00:49:23,00:55:05
69,00:55:05,00:50:11
70,00:50:11,01:00:54
71,01:00:54,00:52:23
72,00:52:23,00:59:31
73,00:59:31,00:51:00
74,00:51:00,01:01:43
75,01:01:43,01:07:28
76,01:07:28,01:02:31
77,01:02:31,00:57:34
78,00:57:34,00:59:46
79,00:59:46,01:06:54
80,01:06:54,00:58:22
81,00:58:22,01:05:32
82,01:05:32,00:57:00
83,00:57:00,01:04:08
84,01:04:08,01:11:17
85,01:11:17,01:02:45
86,01:02:45,01:09:54
87,01:09:54,01:04:57
88,01:04:57,01:00:00
89,01:00:00,01:05:45
90,01:05:45,01:16:29
91,01:16:29,01:03:00
92,01:03:00,01:10:08
93,01:10:08,01:17:17
94,01:17:17,01:08:46
95,01:08:46,01:15:54
96,01:15:54,01:07:23
97,01:07:23,01:14:31
98,01:14:31,01:06:00
